id,question,ground_truth,question_type,difficulty,source_sentence,source_chunk_id,source_page
qa_011,国内各业务板块开展业务拓展的核心依据和出发点分别是什么？,以自身定位为基础、以客户需求为核心,事实检索,easy,"国内各业务 板块以自身定位为基础、以客户需求为核心,拓展业务边界、优化产品结构,强化技术服务、方 案营销与战略合作,实现大客户深度服务与长尾市场覆盖相互补充；",2,3
qa_012,公司为提升线上渠道竞争力采取了哪些关键举措？,持续研究电商新模式与新渠道，不断提升线上渠道覆盖范围与市场占有率,归纳概括,medium,"公司持续研究电商新模式与新渠道,不断提升线上渠道覆盖范围与市场占有率;",2,3
qa_013,2025年公司总资产为多少元？,"748,364,760.06",数值提取,easy,"| 总  | 资 | 2025年          | 调整后            | 2024年 调整前      | 本年比 上年 增减 (%) | 2023年 调整后        | 调整前              |
|----|---|----------------|----------------|----------------|---------------|------------------|------------------|
| 产  |   | 748,364,760.06 | 877,115,138.16 | 877,165,138.16 | -14.68        | 1,050,792,762.15 | 1,050,792,762.15 |",3,5
qa_014,2024年调整后的总资产是多少元？,"877,115,138.16",数值提取,easy,"| 总  | 资 | 2025年          | 调整后            | 2024年 调整前      | 本年比 上年 增减 (%) | 2023年 调整后        | 调整前              |
|----|---|----------------|----------------|----------------|---------------|------------------|------------------|
| 产  |   | 748,364,760.06 | 877,115,138.16 | 877,165,138.16 | -14.68        | 1,050,792,762.15 | 1,050,792,762.15 |",3,5
qa_015,2025年总资产较2024年调整后数据下降了多少百分比？,-14.68,数值提取,easy,"| 总  | 资 | 2025年          | 调整后            | 2024年 调整前      | 本年比 上年 增减 (%) | 2023年 调整后        | 调整前              |
|----|---|----------------|----------------|----------------|---------------|------------------|------------------|
| 产  |   | 748,364,760.06 | 877,115,138.16 | 877,165,138.16 | -14.68        | 1,050,792,762.15 | 1,050,792,762.15 |",3,5
qa_016,2023年调整后与调整前的总资产数据是否一致？,是,事实检索,easy,"| 总  | 资 | 2025年          | 调整后            | 2024年 调整前      | 本年比 上年 增减 (%) | 2023年 调整后        | 调整前              |
|----|---|----------------|----------------|----------------|---------------|------------------|------------------|
| 产  |   | 748,364,760.06 | 877,115,138.16 | 877,165,138.16 | -14.68        | 1,050,792,762.15 | 1,050,792,762.15 |",3,5
qa_017,2025年公司净利润总额是多少？,"-96,516,658.96",数值提取,easy,"| 利  | 润 |                |                |                |               |                  |                  |
| 总额 |   | -96,516,658.96 | -70,435,453.32 | -70,435,453.32 | 不适用           | -21,913,019.80   | -21,913,019.80   |",4,5
qa_018,2024年营业收入相比2023年下降了多少百分比？,-28.32,数值提取,easy,"| 营  | 业 |                |                |                |               |                  |                  |
| 收入 |   | 236,195,000.11 | 329,501,963.16 | 329,501,963.16 | -28.32        | 453,997,393.11   | 453,997,393.11   |",4,5
qa_019,表格中列出的财务指标包括哪些项目？,净资产、营业收入、利润总额、扣除非经常性损益后的净利润（注：表格中‘扣 除 与 主’为‘扣除非经常性损益后的净利润’的截断表述）,归纳概括,medium,"| 净  | 资 |                |                |                |               |                  |                  |
| 产  |   | 401,683,133.32 | 492,191,234.30 | 492,191,234.30 | -18.39        | 560,294,829.01   | 560,294,829.01   |
| 营  | 业 |                |                |                |               |                  |                  |
| 收入 |   | 236,195,000.11 | 329,501,963.16 | 329,501,963.16 | -28.32        | 453,997,393.11   | 453,997,393.11   |
| 利  | 润 |                |                |                |               |                  |                  |
| 总额 |   | -96,516,658.96 | -70,435,453.32 | -70,435,453.32 | 不适用           | -21,913,019.80   | -21,913,019.80   |
| 扣  | 除 |                |                |                |               |                  |                  |
| 与  | 主 |                |                |                |               |                  |                  |",4,5
qa_020,2025年利润总额同比变化情况如何？,不适用,事实检索,easy,"| 利  | 润 |                |                |                |               |                  |                  |
| 总额 |   | -96,516,658.96 | -70,435,453.32 | -70,435,453.32 | 不适用           | -21,913,019.80   | -21,913,019.80   |",4,5
qa_021,2023年公司营业收入是多少？,"232,790,617.33",数值提取,easy,"| 业  | 收 |                |                |                |               |                  |                  |
| 入  |   | 232,790,617.33 | 325,787,592.40 | 325,787,592.40 | -28.55        | 450,010,264.20   | 450,010,264.20   |",6,5
qa_022,2022年公司营业收入是多少？,"325,787,592.40",数值提取,easy,"| 业  | 收 |                |                |                |               |                  |                  |
| 入  |   | 232,790,617.33 | 325,787,592.40 | 325,787,592.40 | -28.55        | 450,010,264.20   | 450,010,264.20   |",6,5
qa_023,与2022年相比，2023年公司营业收入变动百分比是多少？,-28.55,数值提取,easy,"| 业  | 收 |                |                |                |               |                  |                  |
| 入  |   | 232,790,617.33 | 325,787,592.40 | 325,787,592.40 | -28.55        | 450,010,264.20   | 450,010,264.20   |",6,5
qa_024,表格中列示的最新一年（即最近一期）营业收入数据对应的是哪一年？,2023年,事实检索,medium,"| 业  | 收 |                |                |                |               |                  |                  |
| 入  |   | 232,790,617.33 | 325,787,592.40 | 325,787,592.40 | -28.55        | 450,010,264.20   | 450,010,264.20   |",6,5
qa_025,2025年公司归属于上市公司股东的净利润是多少？,"-92,885,739.92",数值提取,easy,"| 归  | 属 | -92,885,739.92 | -68,768,060.30 | -68,768,060.30 | 不适用           | -96,355,776.50   | -96,355,776.50   |",7,5
qa_026,2024年公司归属于上市公司股东的净利润是多少？,"-68,768,060.30",数值提取,easy,"| 归  | 属 | -92,885,739.92 | -68,768,060.30 | -68,768,060.30 | 不适用           | -96,355,776.50   | -96,355,776.50   |",7,5
qa_027,2025年公司股东的净利润与2024年相比变化了多少？,"减少了24,117,679.62元",对比分析,medium,"| 归  | 属 | -92,885,739.92 | -68,768,060.30 | -68,768,060.30 | 不适用           | -96,355,776.50   | -96,355,776.50   |",7,5
qa_028,表格中‘不适用’出现在哪一列，对应哪一年度的财务指标？,第四列，对应2023年度的财务指标,事实检索,easy,"| 归  | 属 | -92,885,739.92 | -68,768,060.30 | -68,768,060.30 | 不适用           | -96,355,776.50   | -96,355,776.50   |",7,5
qa_029,2025年公司经营活动产生的现金流量净额是多少？,"-36,687,877.44",数值提取,easy,"金 量 额 1,254,689.28 -1,120,843.72 -36,687,877.44 不适用 27,997,484.02 -46,507,380.62",8,5
qa_030,表格中列出的‘经营活动产生的现金流量净额’对应的数据列包含哪些年度数值？,"1,254,689.28；-1,120,843.72；-36,687,877.44；不适用；27,997,484.02；-46,507,380.62",归纳概括,medium,"金 量 额 1,254,689.28 -1,120,843.72 -36,687,877.44 不适用 27,997,484.02 -46,507,380.62",8,5
qa_031,表格中‘经营活动产生的现金流量净额’一栏是否存在不可用数据？,是，存在‘不适用’数据,事实检索,easy,"金 量 额 1,254,689.28 -1,120,843.72 -36,687,877.44 不适用 27,997,484.02 -46,507,380.62",8,5
qa_032,该表格所展示的财务指标名称是什么？,经营活动产生的现金流量净额,事实检索,easy,"| 于 市 司 东 扣 非 常 损 的 经 活 产 | 上 公 股 的 除 经 性 益 净 利润 营 动 生                                                 |
|-------------------------|----------------------------------------------------------------------------|
| 的                       | 现                                                                          |
| 金                       | 流                                                                          |
| 量                       | 净                                                                          |
| 额                       | 1,254,689.28 -1,120,843.72 -36,687,877.44 不适用 27,997,484.02 -46,507,380.62 |",8,5
qa_033,2025年公司基本每股收益是多少元？,-0.25,数值提取,easy,|                         | -0.25 -0.19 -0.19 31.58                                                    |,9,5
qa_034,近3年中，公司基本每股收益在哪一年最低？,2025年,事实检索,easy,|                         | -0.25 -0.19 -0.19 31.58                                                    |,9,5
qa_035,2025年与前一年相比，公司基本每股收益变化幅度是多少？,31.58,数值提取,easy,|                         | -0.25 -0.19 -0.19 31.58                                                    |,9,5
qa_036,表格中‘减少6.96个百分点’对应的是哪项财务指标的变化？,净资产收益率,事实检索,medium,"| 产                       | 收                                                                          |
| 益                       | 率                                                                          |
|                         | -19.90 -12.94 -12.94                                                       |
|                         | -10.12 -10.12 减少 6.96个 百分点                                                 |",9,5
qa_037,公司最近三年的稀释每股收益（元/股）分别是多少？,-0.25、-0.19、-0.19,数值提取,easy,|                         | -0.25 -0.19 -0.19 31.58                                                    |,10,5
qa_038,表格中显示的基本每股收益（元/股）近三年数值是否相同？若相同，具体是多少？,是，均为-0.17元/股,对比分析,medium,|                         | -0.17 -0.17 ／股）                                                            |,10,5
qa_039,该表格中列示了哪两类每股收益指标？,基本每股收益和稀释每股收益,归纳概括,easy,"| 稀                       | 释                                                                          |
| 每                       | 股                                                                          |
| 收                       | 益                                                                          |
| （                       | 元                                                                          |
|                         | -0.17 -0.17 ／股）                                                            |",10,5
qa_040,表格中除每股收益外，还包含一个数值‘31.58’，它最可能对应哪项财务指标？,无法从该文本块确定其对应的具体指标,事实检索,hard,|                         | -0.25 -0.19 -0.19 31.58                                                    |,10,5
qa_041,2025年第一季度的营业收入是多少元？,"74,230,286.84",数值提取,easy,"| 营业收入 归属于上市公司           | 74,230,286.84  | 54,892,908.37  | 43,047,760.99  | 64,024,043.91    |",11,6
qa_042,公司对2025年半年报中哪一项现金流量数据进行了会计差错更正？,收到其他与经营活动有关的现金,事实检索,easy,"公司对 2025 年半年报经营活动现金流量中的""收到其他与经营活动有关的现金""发生额进行差错 更正,更正金额-400,000.00 元,对第二季度(4-6 月份)""经营活动产生的现金流量净额""影响金 额为-400,000.00 元。",11,6
qa_043,2025年第四季度归属于上市公司股东的扣除非经常性损益后的净利润是多少元？,"-49,343,074.86",数值提取,easy,"| 常性损益后的净 利润             | -9,893,398.60  | -19,476,022.73 | -14,173,243.73 | -49,343,074.86   |",11,6
qa_044,会计差错更正对第二季度经营活动产生的现金流量净额的影响金额是多少元？,"-400,000.00",数值提取,medium,"公司对 2025 年半年报经营活动现金流量中的""收到其他与经营活动有关的现金""发生额进行差错 更正,更正金额-400,000.00 元,对第二季度(4-6 月份)""经营活动产生的现金流量净额""影响金 额为-400,000.00 元。",11,6
qa_045,截至报告期末，湖北美尔雅集团有限公司持有公司多少股股份？,"73,388,738",数值提取,easy,"| 公司                  | 0          | 73,388,738 | 20.39  | 0                 | 冻结                | 4,775,697                          |",12,7
qa_046,报告期末持股比例最高的股东是谁？,湖北美尔雅集团有限公司,事实检索,easy,"| 公司                  | 0          | 73,388,738 | 20.39  | 0                 | 冻结                | 4,775,697                          |",12,7
qa_047,哪些股东在报告期末存在股份质押或冻结情况？,湖北美尔雅集团有限公司、郑继平,归纳概括,medium,"| 公司                  | 0          | 73,388,738 | 20.39  | 0                 | 冻结                | 4,775,697                          |
| 郑继平                 | 0          | 4,551,900  | 1.26   | 0                 | 质押                | 4,551,900                          |",12,7
qa_048,刘迎在报告期内减持了多少股公司股份？,"8,936,000",数值提取,easy,"| 刘迎                  | -8,936,000 | 6,660,000  | 1.85   | 0                 | 无                 | 0                                  |",12,7
qa_049,金扬在报告期末持有多少股普通股？,"4,030,900",数值提取,easy,"| 金扬                  | 4,030,900  | 4,030,900  | 1.12   | 0                 | 无                 | 0 境内                               |",13,7
qa_050,金扬持有的普通股占总股本的比例是多少？,1.12%,数值提取,easy,"| 金扬                  | 4,030,900  | 4,030,900  | 1.12   | 0                 | 无                 | 0 境内                               |",13,7
qa_051,金扬是否持有表决权恢复的优先股或特别表决权股份？,否（无）,事实检索,easy,"| 金扬                  | 4,030,900  | 4,030,900  | 1.12   | 0                 | 无                 | 0 境内                               |",13,7
qa_052,金扬的股东身份属于境内还是境外？,境内,事实检索,easy,"| 金扬                  | 4,030,900  | 4,030,900  | 1.12   | 0                 | 无                 | 0 境内                               |",13,7
qa_053,公司2025年年度实现的归属于母公司所有者的净利润是多少？,"-89,092,646.60 元",数值提取,easy,"公司 2025 年年度实现利润总额-96,516,658.96 元,实现归属于母公司所有者的净利润- 89,092,646.60 元,实现归属于母公司所有者的扣除非经常性损益后的净利润-92,885,739.92 元,实 现营业收入 236,195,000.11 元,扣除与主营业务无关的业务收入和不具备商业实质的收入后的营 业收入为 23,279.06 万元,低于 3 亿元。",14,7
qa_054,根据《股票上市规则》第9.3.2条，公司股票在2025年年度报告披露后将面临何种监管措施？,被实施退市风险警示,事实检索,easy,"根据《股票上市规则》第 9.3.2 条第一款第(一)项规定:""最近一个会计年度经审计的利润 总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于 3 亿元,或追溯重 述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业 收入低于 3 亿元"",公司股票在 2025 年年度报告披露后将被实施退市风险警示。",14,7
qa_055,公司2025年扣除与主营业务无关及不具备商业实质的收入后的营业收入为多少万元？,"23,279.06",数值提取,easy,"实现营业收入 236,195,000.11 元,扣除与主营业务无关的业务收入和不具备商业实质的收入后的营 业收入为 23,279.06 万元,低于 3 亿元。",14,7
qa_056,触发退市风险警示的具体财务指标条件是什么？,最近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,归纳概括,medium,"根据《股票上市规则》第 9.3.2 条第一款第(一)项规定:""最近一个会计年度经审计的利润 总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于 3 亿元,或追溯重 述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业 收入低于 3 亿元"",公司股票在 2025 年年度报告披露后将被实施退市风险警示。",14,7
qa_057,公司因何原因将在2025年年度报告披露后被实施退市风险警示？,公司2024、2025连续2个会计年度的财务报告内部控制被出具否定意见的审计报告。,事实检索,easy,2、公司 2024、2025 连续 2 个会计年度的财务报告内部控制被出具否定意见的审计报告。,15,9
qa_058,根据《上海证券交易所股票上市规则》第9.4.1条第(六)项，哪些情形会导致股票被实施退市风险警示？,连续2个会计年度的财务报告内部控制被出具无法表示意见或者否定意见的审计报告，或者未按照规定披露财务报告内部控制审计报告。,归纳概括,medium,"根据 《上海证券交易所股票上市规则》第 9.4.1 条第(六)项规定""连续 2 个会计年度的财务报告 内部控制被出具无法表示意见或者否定意见的审计报告,或者未按照规定披露财务报告内部控制 审计报告;""",15,9
qa_059,公司被实施退市风险警示的具体时间节点是什么？,2025年年度报告披露后。,事实检索,easy,公司股票在 2025 年年度报告披露后将被实施退市风险警示。,15,9
qa_060,导致公司面临退市风险警示的内部控制问题持续了几个会计年度？,2个会计年度。,数值提取,easy,公司 2024、2025 连续 2 个会计年度的财务报告内部控制被出具否定意见的审计报告。,15,9
qa_061,2025年服装行业规模以上企业工业增加值同比变化情况与2024年同期相比有何差异？,2025年1-12月服装行业规模以上企业工业增加值同比下降3.0%，降幅较2024年同期回落3.8个百分点。,对比分析,medium,"根据国家统计局数据,2025 年 1-12 月,服装行业规模以上企业工业增加值同比下降 3.0%,降幅较 2024 年同期回落 3.8 个百分点;",0,2
qa_062,2025年我国限额以上单位服装类商品零售额增速与2024年同期相比有何变化？,2025年1-12月我国限额以上单位服装类商品零售额同比增长2.8%，增速较2024年同期加快2.7个百分点。,对比分析,medium,"根据国家统计局数据,2025 年 1-12 月,我国限额以上单位服装类商品零售额 11044.5 亿元,同比增长 2.8%,增速较 2024 年 同期加快 2.7 个百分点;",0,2
qa_063,2025年服装行业面临的主要外部经营风险有哪些？,全球贸易摩擦加剧、地缘政治冲突持续、主要经济体政策分化，特别是个别国家新一轮关税大棒的挥舞，给全球产业链供应链带来剧烈冲击。,风险分析,medium,"2025 年,中国经济 ""顶压前行"",从外部环境看,全球贸易摩擦加剧、地缘政治冲突持续、 主要经济体政策分化,特别是个别国家新一轮关税大棒的挥舞,给全球产业链供应链带来剧烈冲 击;",0,2
qa_064,2025年我国服装行业在生产端面临哪些结构性风险？,服装行业生产规模小幅收缩，工业增加值持续负增长且降幅逐步加深；规模以上企业服装产量同比下降3.44%，增速较2024年同期回落7.66个百分点。,风险分析,medium,"2025 年,我国服装行业生产规模小幅收缩,工业增加值持续负增长,且降幅逐步加深。根据 国家统计局数据,2025 年 1-12 月,服装行业规模以上企业工业增加值同比下降 3.0%,降幅较 2024 年同期回落 3.8 个百分点;规模以上企业服装产量同比下降 3.44%,增速较 2024 年同期回落 7.66 个百分点。",0,2
qa_065,公司在国内市场与国外市场的经营模式有何主要区别？,在国内市场，公司开展服装全链条业务，涵盖生产加工与终端销售，主营自主品牌男装、女装及配套服饰；在国外市场，公司主要开展外贸生产加工，采用来料加工、进料加工和一般贸易三种模式。,对比分析,medium,"按面向市场和经营模式的不同,公司经营模式可分为国外市场的外贸生产加工和国内市场品牌生产加工销售等。公司在国内开展服装全链条业务,涵盖生产加工与终端销售,主营自主品牌的男装、女装及各类配套服饰。外贸加工业务主要采用来料加工、进料加工和一般贸易三种运营模式。",1,3
qa_066,公司内销业务中的零售渠道与团购定制渠道在服务对象和业务特点上有何不同？,零售渠道以直营店、加盟店、商场专柜为主要形式，直面消费者，满足即时购买需求，同时也是品牌形象展示平台；团购定制渠道主要承接金融、电力、电信、政府机构、学校及各类企事业单位的团体服装加工与定制业务，业务表现易受宏观经济形势及客户经营状况影响。,对比分析,medium,"零售以直营店、加盟店、商场专柜为主要形式,直面消费者,满足即时购买需求,同时也是品牌形象展示的重要平台;团购定制主要承接各类团体服装加工与定制业务,服务金融、电力、电信、政府机构、学校及各类企事业单位,业务表现易受宏观经济形势及客户经营状况影响。",1,3
qa_067,公司股票在2025年年度报告披露后将被实施退市风险警示的直接原因是什么？,公司2024、2025连续2个会计年度的财务报告内部控制被出具否定意见的审计报告。,风险分析,easy,2、公司 2024、2025 连续 2 个会计年度的财务报告内部控制被出具否定意见的审计报告。,15,9
qa_068,根据《上海证券交易所股票上市规则》，触发退市风险警示的具体条款依据是什么？,《上海证券交易所股票上市规则》第9.4.1条第(六)项规定：'连续2个会计年度的财务报告内部控制被出具无法表示意见或者否定意见的审计报告，或者未按照规定披露财务报告内部控制审计报告;',风险分析,medium,"根据 《上海证券交易所股票上市规则》第 9.4.1 条第(六)项规定""连续 2 个会计年度的财务报告 内部控制被出具无法表示意见或者否定意见的审计报告,或者未按照规定披露财务报告内部控制 审计报告;""",15,9
qa_069,公司因内部控制审计意见问题面临何种重大经营与合规风险？,公司股票在2025年年度报告披露后将被实施退市风险警示。,风险分析,medium,公司股票在 2025 年年度报告披露后将被实施退市风险警示。,15,9
qa_070,根据年报披露内容，公司股票将在何时被实施退市风险警示？其直接触发依据的具体规则条款是什么？,公司股票在2025年年度报告披露后将被实施退市风险警示；依据是《上海证券交易所股票上市规则》第9.4.1条第(六)项规定。,归纳概括,hard,"公司 2024、2025 连续 2 个会计年度的财务报告内部控制被出具否定意见的审计报告。根据 《上海证券交易所股票上市规则》第 9.4.1 条第(六)项规定""连续 2 个会计年度的财务报告 内部控制被出具无法表示意见或者否定意见的审计报告,或者未按照规定披露财务报告内部控制 审计报告;"" 公司股票在 2025 年年度报告披露后将被实施退市风险警示。",15,9
qa_071,导致公司面临退市风险警示的内部控制缺陷，在时间维度和审计意见类型上呈现何种复合性特征？,连续两个会计年度（2024年和2025年）的财务报告内部控制均被出具否定意见的审计报告。,归纳概括,hard,"公司 2024、2025 连续 2 个会计年度的财务报告内部控制被出具否定意见的审计报告。根据 《上海证券交易所股票上市规则》第 9.4.1 条第(六)项规定""连续 2 个会计年度的财务报告 内部控制被出具无法表示意见或者否定意见的审计报告,或者未按照规定披露财务报告内部控制 审计报告;"" 公司股票在 2025 年年度报告披露后将被实施退市风险警示。",15,9
